position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
lb,"Chatham, Virginia",Hargrave Military Academy,78,217,,2,5.4,,Lamar,Darryl Waters,2012
rb,"Corsicana, Texas",Corsicana,78,190,,0,,,Lamar,Cameron Washington,2012
wr,"Houston, Texas",Cypress Falls,65,175,4.5,0,,,Lamar,Gratian Gladney,2012
ol,"Beaumont, Texas",West Brook,78,290,5.2,0,,,Lamar,Jermaine Bowman,2012
qb,"Mandeville, Louisiana",Mandeville,78,180,,0,,,Lamar,Matt Bergeron,2012
ol,"Kingwood, Texas",Kingwood Park,78,250,4.9,0,,,Lamar,Garrett Baxley,2012
db,"Mission Viejo, California",Saddleback C.C.,78,215,4.4,0,,,Lamar,Courtlin Thompson,2012
lb,"Manor, Texas",Manor,78,215,,0,,,Lamar,Michael Hargis,2012
ath,"Burton, Texas",Burton,78,185,4.6,0,,,Lamar,Xavier Bethany,2012
lb,"Miami, Florida",Miami Norland,78,205,,2,5.2,,Louisville,Lamar Atkins,2012
rb,"Memphis, Tennessee",Southwind,78,200,,3,5.5,,Missouri State,Cedric Miller,2012
ath,"Memphis, Tennessee",Southwind,65,165,4.5,0,,,Grambling State,Dominique Leake,2012
qb,"Dyersburg, Tennessee",Dyersburg,78,200,4.8,0,,,Virginia Military,Hayden Alford,2012
rb,"Memphis, Tennessee",Fairley,65,165,,3,5.5,,Murray State,Marcus Holliday,2012
db,"Smyrna, Tennessee",Smyrna,78,190,4.6,0,,,Murray State,Brandon Hathaway,2012
rb,"Gallatin, Tennessee",Gallatin,78,220,,0,,,Tennessee State,Maurice Box,2012
ol,"Gallatin, Tennessee",Gallatin,78,330,,0,,,Tennessee State,Tre Haynes,2012
wr,"Cleveland, Tennessee",Bradley Central,78,180,4.6,0,,,Navy,James Stovall,2012
rb,"Murfreesboro, Tennessee",Riverdale,65,191,4.5,0,,,Navy,Adam Davenport,2012
ath,"Nashville, Tennessee",Hillsboro,78,180,,0,,,Tennessee-Martin,Amiri Hawkins,2012
de,"Paris, Tennessee",Henry County,78,225,,0,,,Tennessee-Martin,Caleb Counce,2012
lb,"Arlington, Tennessee",Arlington,78,210,4.6,0,,,Central Arkansas,Jazz Mason,2012
db,"Nashville, Tennessee",Pearl-Cohn,65,167,4.5,0,,,Southeast Missouri State,Darrius Darden-Box,2012
rb,"Collierville, Tennessee",St. George's,65,185,,0,,,Austin Peay,Omar Williams,2012
qb,"Powder Springs, Georgia",McEachern,78,185,5.0,2,5.4,,Tennessee Tech,Trent Thompson,2012
wr,"Franklin, Tennessee",Battle Ground Academy,65,162,4.6,0,,,Tennessee Tech,Jordan Smith,2012
qb,"Tullahoma, Tennessee",Tullahoma,78,187,4.8,0,,,Tennessee Tech,Jared Davis,2012
lb,"Fairview, Tennessee",Fairview,78,195,,0,,,Tennessee Tech,Logan Cavender,2012
wr,"Columbia, Tennessee",Columbia Central,78,180,,2,5.2,,Tennessee Tech,Eric Belew,2012
db,"Nashville, Tennessee",Pearl-Cohn,65,165,4.5,0,,,Tennessee Tech,Demario Donnell,2012
rb,"Nashville, Tennessee",Maplewood,65,150,,0,,,Tennessee Tech,Ladarius Vanlier,2012
rb,"Brentwood, Tennessee",Brentwood Academy,65,186,4.5,0,,,Tennessee Tech,Radir Annoor,2012
wr,"West Creek, Tennessee",Clarksville,78,155,,0,,,Chattanooga,C.J. Board,2012
wr,"Brentwood, Tennessee",Brentwood Academy,78,175,4.5,3,5.5,,Chattanooga,Al Thompson,2012
ol,"Nashville, Tennessee",Montgomery Bell Academy,78,265,,0,,,Cornell,Jamie Bradshaw,2012
ol,"Folsom, California",Folsom,78,255,,0,,,Weber State,Yuvraaj Madra,2012
lb,"Windsor, California",Windsor,78,220,,0,,,UC Davis,Brady Stibi,2012
k,"Pleasant Grove, California",Pleasant Grove,78,200,,0,,,UC Davis,Marcus White,2012
qb,"Fairfield, California",Vanden,78,169,,2,5.4,,UC Davis,Ben Scott,2012
qb,"Colfax, California",Colfax,78,220,,0,,,Southern Utah,Austin Young,2012
de,"Miami, Florida",Northwestern,78,250,,3,5.6,,West Virginia,Eric Kinsey,2012
rb,"Pittsburg, California",Pittsburg,78,220,,0,,,Montana State,Feao Vunipola,2012
